Year,Region/City,Number of Bedrooms,Number of Bathrooms,Square Footage,Listing Price,Sale Price,Days on Market,Property Age (Years),Property Type,Number of Garages
2017,Hamilton,1,1,1465,906290,901195,45,31,Detached,3
2019,Guelph,1,3,1264,790654,699565,9,85,Detached,2
2018,London,4,4,1577,786501,765816,27,16,Condo,1
2021,Ottawa,4,3,1722,657443,614838,73,23,Townhouse,3
2021,Guelph,2,4,852,981827,930173,14,78,Condo,0
2021,Toronto,1,1,1902,716187,669253,72,23,Condo,0
2022,Toronto,1,3,2022,623285,615643,16,41,Townhouse,0
2018,Windsor,5,4,1718,1134852,1058991,14,18,Townhouse,0
2022,Hamilton,5,2,1126,938314,972861,64,36,Condo,2
2022,London,2,1,1369,791968,712575,34,12,Detached,0
2010,Windsor,1,1,1973,311751,227060,28,75,Townhouse,2
2018,Hamilton,2,2,1108,752915,675819,73,69,Detached,3
2016,Hamilton,5,2,1751,795676,754804,17,51,Townhouse,0
2018,Windsor,5,4,1479,1092736,1038854,13,85,Detached,0
2017,Kitchener,4,1,1564,450004,420083,22,32,Condo,3
2010,Hamilton,2,4,1165,1112051,1059991,39,93,Condo,3
2021,Kitchener,2,2,1632,887386,818512,8,71,Condo,2
2017,Toronto,1,1,1603,558483,541335,45,36,Condo,1
2017,Toronto,1,2,896,984363,938392,30,40,Townhouse,2
2020,Hamilton,4,4,1498,751225,715541,48,91,Condo,1
2012,Toronto,3,4,1745,467624,382438,46,70,Detached,2
2010,London,3,4,1345,711116,689348,14,38,Condo,1
2017,Kitchener,3,1,520,850981,782197,77,54,Condo,0
2012,Kitchener,2,2,1454,812387,763970,5,4,Condo,1
2012,Hamilton,2,2,2086,928695,882423,58,46,Condo,3
2010,Toronto,5,4,1362,1019486,949804,20,63,Townhouse,3
2020,Guelph,2,4,2071,580286,541806,50,99,Townhouse,1
2014,Windsor,2,4,1175,795819,742721,17,74,Townhouse,0
2019,Windsor,2,4,1035,678008,594675,68,50,Detached,0
2016,Kitchener,4,3,1497,550213,523523,82,30,Detached,1
2019,Hamilton,2,3,1170,789632,731503,59,73,Condo,1
2018,Hamilton,1,3,1631,886333,809893,67,16,Detached,3
2021,London,1,4,1350,898135,834127,22,52,Detached,3
2016,Ottawa,5,4,2089,720957,632522,65,4,Detached,2
2018,Ottawa,4,2,1323,598426,552022,24,26,Detached,0
2017,Kitchener,1,1,1535,671074,600932,69,29,Townhouse,0
2021,Windsor,4,2,1738,424633,341552,68,92,Townhouse,0
2011,London,4,3,1882,562139,562886,80,11,Detached,2
2010,London,5,2,2091,579475,541679,68,92,Detached,2
2016,London,4,4,1406,969060,907688,17,96,Townhouse,3
2016,Kitchener,2,3,1340,968880,891263,72,24,Condo,3
2023,Ottawa,4,3,734,1225896,1168590,74,51,Townhouse,1
2017,Windsor,5,1,2316,848065,756166,61,42,Detached,2
2014,London,5,1,1644,703222,669248,49,39,Detached,2
2012,Windsor,5,3,1800,802394,789441,42,7,Detached,2
2021,Toronto,1,3,1722,766154,692314,58,18,Townhouse,0
2017,Hamilton,2,2,1519,673656,627046,40,3,Detached,3
2015,Hamilton,1,3,1640,863984,839118,71,63,Townhouse,1
2020,Windsor,3,4,1276,838671,737419,83,20,Condo,2
2012,Guelph,2,2,1379,783483,711077,15,98,Detached,2
2010,Guelph,4,4,1119,741142,671608,31,94,Detached,2
2012,Kitchener,5,4,2122,926380,828582,21,73,Condo,0
2014,Kitchener,3,4,1724,689251,650864,89,74,Townhouse,1
2023,Hamilton,2,3,2290,719368,626965,37,70,Detached,1
2012,Toronto,1,1,2418,895016,832461,9,17,Detached,2
2010,Ottawa,5,1,938,1002295,969985,85,79,Detached,1
2014,Ottawa,1,4,1894,984027,934237,66,97,Detached,0
2019,Kitchener,2,3,956,748082,692485,69,59,Condo,2
2016,Toronto,2,2,1570,547130,463749,75,54,Townhouse,3
2023,Kitchener,3,4,1625,742101,732602,71,13,Condo,3
2016,Ottawa,4,2,985,814701,817155,84,42,Townhouse,1
2020,Windsor,1,2,1204,577155,550782,84,44,Condo,3
2018,Kitchener,3,3,1644,738380,690413,48,86,Condo,3
2019,London,5,3,1570,1041419,969987,18,80,Townhouse,2
2019,Windsor,4,1,1092,829495,793231,61,98,Detached,0
2021,Kitchener,3,1,1220,691882,629368,52,67,Detached,2
2022,Hamilton,1,3,903,805767,707673,21,72,Condo,0
2012,Kitchener,2,4,1018,816749,817727,48,20,Condo,2
2016,Hamilton,5,1,1351,725329,679411,8,47,Condo,3
2010,Toronto,1,2,1894,954475,831892,85,24,Detached,2
2013,Ottawa,4,4,1945,434319,405641,34,51,Townhouse,1
2022,Windsor,4,2,2233,894352,868859,89,18,Detached,1
2013,Windsor,2,3,1669,685370,619739,85,23,Condo,0
2023,Guelph,2,2,1575,1009140,975033,79,1,Detached,0
2014,Guelph,5,4,1698,545071,462798,59,66,Detached,0
2016,Ottawa,5,3,1694,987715,863463,34,5,Detached,1
2016,Guelph,2,4,853,642146,589905,22,18,Townhouse,2
2022,Windsor,2,2,2255,864397,732266,88,80,Condo,3
2020,Kitchener,4,4,727,707000,670589,77,74,Detached,0
2022,Toronto,2,3,1959,1025441,980470,48,93,Detached,2
2013,Toronto,3,2,1522,761783,740579,66,35,Condo,2
2022,Ottawa,1,2,1064,655388,618892,35,25,Detached,1
2016,Guelph,2,1,1712,1079819,1036981,20,24,Detached,1
2020,Kitchener,5,1,1452,743970,681551,81,13,Detached,3
2012,Toronto,3,4,1226,904356,891739,27,21,Detached,2
2015,Toronto,5,1,947,987808,953335,18,39,Condo,0
2021,London,3,1,913,624101,588867,6,34,Detached,1
2011,London,2,1,1255,884389,807583,16,19,Townhouse,2
2019,Windsor,1,1,1345,911436,857937,62,28,Detached,1
2022,Toronto,5,3,1015,490504,437000,60,91,Townhouse,2
2023,Ottawa,3,3,1515,864611,812114,28,90,Condo,1
2018,Hamilton,4,1,1072,729218,731556,41,11,Detached,0
2014,Hamilton,2,4,1644,1124036,1025818,33,49,Townhouse,3
2015,Kitchener,1,3,1992,973223,950972,46,35,Townhouse,0
2021,Toronto,2,1,1615,887815,811113,22,84,Detached,1
2021,Toronto,4,3,1462,391734,348490,7,76,Detached,1
2021,Windsor,1,2,1286,888997,857341,81,57,Condo,1
2021,Toronto,4,3,2078,647805,566494,17,28,Condo,0
2013,Ottawa,2,3,1422,974705,960516,33,66,Detached,1
2023,London,3,4,2496,768016,751289,70,65,Condo,0
2023,Toronto,2,3,1026,696182,641458,63,73,Condo,1
2020,Toronto,2,4,1615,712676,657059,52,22,Condo,3
2019,Windsor,2,2,2065,725956,651371,8,51,Condo,3
2016,Guelph,5,1,1223,530554,459058,55,91,Detached,1
2021,Windsor,4,4,1405,556796,508877,9,9,Detached,2
2018,Windsor,4,3,1750,732903,679770,43,71,Townhouse,0
2016,Ottawa,4,3,1655,1111027,1065386,45,36,Condo,1
2023,Kitchener,5,4,1723,942892,850357,9,54,Detached,0
2010,Toronto,3,2,1964,960800,940262,12,38,Townhouse,2
2010,Windsor,2,1,1361,1039445,988496,60,66,Condo,3
2018,Windsor,3,3,2074,856223,783138,29,43,Townhouse,0
2020,Guelph,5,2,811,708664,625365,56,5,Condo,0
2023,Windsor,4,1,1930,717803,687835,56,81,Detached,0
2018,Hamilton,2,1,1958,634852,613968,11,37,Townhouse,0
2013,Kitchener,1,3,1190,962201,949445,65,58,Detached,0
2022,Toronto,1,4,919,612751,573040,89,63,Condo,3
2018,Toronto,3,3,1407,1218068,1160443,51,99,Condo,0
2012,Guelph,4,3,1661,619418,583584,86,51,Condo,0
2016,Ottawa,1,3,1365,1044580,973604,70,72,Townhouse,3
2015,Toronto,3,2,1700,1045660,997627,63,43,Townhouse,1
2017,Hamilton,5,4,2275,924870,856585,9,67,Townhouse,1
2020,Toronto,3,2,954,1124114,1069699,48,67,Detached,0
2018,Hamilton,3,3,718,760753,761310,46,65,Townhouse,3
2023,Kitchener,3,4,1472,825653,810149,65,62,Condo,0
2014,Kitchener,2,1,1227,844885,760172,67,88,Detached,1
2010,London,3,4,1307,918024,896133,54,63,Condo,3
2012,London,3,3,2006,436206,360648,42,30,Condo,2
2019,Hamilton,2,4,1451,778772,724985,58,90,Townhouse,3
2021,Ottawa,2,1,1488,971647,951184,48,38,Townhouse,1
2017,Toronto,5,1,1325,725616,653127,28,51,Townhouse,3
2020,Windsor,4,4,1484,1191915,1156246,67,38,Condo,2
2015,Toronto,1,1,1607,825606,771060,43,67,Detached,3
2017,London,1,2,2613,902904,859200,16,77,Townhouse,0
2018,Windsor,3,4,1611,1110199,1141324,67,48,Townhouse,0
2013,Hamilton,5,1,1965,825886,755674,13,12,Detached,1
2010,Windsor,3,1,1574,1106931,1033916,83,20,Condo,3
2023,Toronto,1,4,688,916629,881452,26,72,Condo,1
2010,Toronto,2,2,1273,917016,847746,40,2,Detached,3
2019,Ottawa,4,4,1611,622167,598320,78,75,Townhouse,1
2013,Guelph,5,1,1789,1021292,996833,32,85,Detached,3
2021,Windsor,2,4,1584,678721,621533,60,55,Townhouse,0
2023,London,4,1,1868,762723,733608,33,6,Detached,1
2016,London,5,3,916,1051839,1005715,9,83,Condo,1
2011,Guelph,5,4,1519,726651,704822,8,94,Condo,2
2012,Toronto,1,4,2031,869557,858095,55,62,Condo,3
2010,Ottawa,2,1,1111,789225,732994,19,49,Condo,0
2014,Ottawa,5,1,1948,796200,739689,64,84,Detached,0
2010,London,5,1,1927,770108,719532,30,54,Detached,0
2017,Ottawa,4,1,1005,592764,551483,27,10,Townhouse,1
2010,Kitchener,1,4,1635,909028,880136,33,24,Detached,0
2020,Guelph,3,1,1563,926824,909260,61,97,Townhouse,1
2010,Toronto,1,4,1429,683602,667214,66,29,Detached,2
2011,Kitchener,3,2,889,711542,679659,63,94,Detached,0
2011,Guelph,2,4,1394,982598,901960,52,6,Detached,2
2021,Hamilton,2,1,1437,747242,690312,86,58,Detached,3
2015,Windsor,5,1,820,818519,757712,39,78,Condo,3
2016,London,2,2,977,623680,611352,50,57,Detached,2
2014,Ottawa,5,4,1129,787305,731734,37,3,Townhouse,3
2010,Hamilton,1,2,1080,624764,564652,75,24,Condo,0
2010,Ottawa,2,4,1630,679004,581429,14,19,Detached,0
2012,Kitchener,1,1,1864,647163,597727,52,98,Detached,1
2023,Toronto,1,4,1375,972656,934470,48,9,Townhouse,2
2011,Toronto,2,1,1806,534082,507074,74,30,Condo,2
2014,Toronto,1,1,1880,853336,801544,67,96,Condo,1
2021,Ottawa,2,3,1465,755375,711222,53,77,Condo,0
2019,Hamilton,2,3,1663,1079252,995579,76,82,Condo,2
2015,Toronto,2,4,1410,955893,878834,89,44,Townhouse,1
2016,Hamilton,3,1,1050,552006,531859,45,53,Detached,2
2013,Ottawa,1,2,1201,687895,638561,87,86,Detached,2
2016,Kitchener,4,1,1630,797217,673793,43,68,Condo,1
2020,Hamilton,2,2,1451,687854,681828,27,60,Townhouse,2
2017,Kitchener,1,4,1794,981654,937257,17,23,Detached,3
2020,Ottawa,5,4,745,833988,761414,57,61,Condo,1
2010,Ottawa,2,2,841,761330,718458,74,7,Condo,1
2015,London,2,2,888,996179,955840,61,44,Townhouse,3
2017,Ottawa,4,1,1566,564528,528617,80,55,Townhouse,2
2014,Ottawa,3,4,948,746897,728814,71,75,Townhouse,3
2013,Guelph,3,1,1628,849599,804671,52,39,Condo,2
2011,Toronto,2,2,1801,771737,690957,24,59,Townhouse,0
2015,London,1,3,2106,179078,167233,66,98,Condo,3
2015,Windsor,5,3,2062,867804,809804,49,5,Detached,3
2020,London,5,3,1221,900545,818176,67,42,Condo,3
2010,London,1,2,832,597490,548110,12,89,Condo,0
2018,Windsor,2,1,1247,363404,326041,30,92,Detached,2
2021,Guelph,5,4,1890,664452,594222,42,14,Townhouse,0
2020,Kitchener,3,2,1344,759303,736312,45,27,Townhouse,3
2015,Ottawa,1,3,1490,777893,715237,6,16,Condo,0
2022,Toronto,4,1,1277,406578,361575,11,91,Condo,3
2012,Hamilton,2,4,2132,840643,788764,29,2,Detached,1
2013,Windsor,1,4,1094,1005775,905480,55,19,Townhouse,2
2021,Kitchener,5,2,1526,991361,906676,54,23,Detached,3
2020,Windsor,2,2,1943,1044368,949922,68,41,Condo,0
2013,Ottawa,3,4,2236,557405,531944,16,14,Condo,0
2012,Guelph,2,4,1222,975812,956465,57,47,Detached,0
2019,Windsor,2,3,1884,613235,549233,79,63,Detached,2
2012,Ottawa,3,4,1247,957847,898127,14,90,Townhouse,1
2012,Ottawa,3,2,2050,652529,661822,65,8,Detached,2
2013,Guelph,2,1,2191,870404,810276,59,27,Townhouse,1
2016,London,3,3,1144,1107037,995618,72,40,Townhouse,0
2013,London,1,3,1761,986587,879676,46,28,Detached,2
2018,Toronto,3,4,1945,615544,586535,70,68,Detached,1
2010,Toronto,3,1,1382,572223,500893,48,61,Townhouse,0
2017,London,2,3,1719,955268,931939,32,38,Detached,0
2016,Kitchener,1,2,1740,1063893,1016770,82,75,Townhouse,2
2011,Hamilton,4,4,2303,885959,860566,62,24,Townhouse,1
2017,Ottawa,4,2,711,697765,682836,6,28,Condo,0
2010,Hamilton,5,4,1477,808374,731876,59,41,Townhouse,0
2020,Ottawa,3,3,999,886488,827894,38,18,Condo,0
2021,London,3,4,1505,782088,718765,24,49,Detached,3
2018,Toronto,1,1,1186,615743,546752,51,85,Townhouse,1
2018,Kitchener,4,2,1398,1012747,956830,30,26,Townhouse,1
2011,Toronto,5,1,1150,1175657,1156786,88,3,Detached,3
2016,Hamilton,1,2,1562,1085310,1028999,5,77,Detached,0
2023,Toronto,3,2,1929,365766,322303,69,38,Detached,3
2019,London,4,4,1350,1031196,986939,79,92,Townhouse,3
2012,Kitchener,5,3,2072,915639,893949,19,14,Detached,3
2016,Hamilton,2,3,1917,668543,663730,18,1,Detached,1
2021,Kitchener,4,1,2313,407563,374581,59,92,Condo,0
2019,Ottawa,5,4,1664,777272,710912,5,11,Condo,0
2018,Toronto,1,3,1475,872736,824819,37,40,Townhouse,1
2013,Kitchener,2,2,865,578629,475134,74,4,Detached,1
2021,Guelph,5,2,1187,1046451,998417,60,34,Detached,3
2010,Toronto,5,4,1416,1041603,985756,27,65,Condo,3
2011,Ottawa,3,1,1464,893583,843085,58,56,Townhouse,2
2010,Kitchener,4,4,2439,525436,507316,7,10,Detached,2
2023,Hamilton,3,1,1417,747584,698228,50,81,Townhouse,1
2021,Ottawa,2,4,792,944738,926789,10,71,Condo,3
2014,Guelph,5,2,1765,931548,883603,29,64,Detached,1
2014,Kitchener,3,4,1742,660194,662992,21,13,Condo,3
2020,Windsor,4,3,1316,689521,641605,32,22,Condo,3
2016,Windsor,2,3,2351,655036,600595,36,56,Condo,1
2018,London,1,4,741,743422,686819,27,65,Detached,1
2018,Toronto,3,1,1999,702662,695699,20,92,Townhouse,0
2012,Hamilton,2,1,1383,666213,601792,30,97,Detached,0
2012,London,1,2,1119,772476,702706,37,13,Condo,2
2012,Kitchener,3,2,2460,807998,786744,62,1,Townhouse,1
2013,Windsor,2,1,1794,1017410,937850,52,38,Condo,2
2017,Windsor,2,4,1380,443745,388085,87,58,Detached,1
2015,Windsor,3,2,1372,1043852,995659,59,25,Townhouse,1
2017,Kitchener,2,1,1610,650536,583501,45,42,Detached,1
2010,Windsor,5,1,1315,1172101,1073458,66,85,Townhouse,0
2017,Ottawa,3,4,2019,934639,888863,21,33,Condo,2
2013,Kitchener,2,3,1535,909467,874287,63,57,Condo,1
2020,Hamilton,1,1,1907,779197,666778,18,37,Condo,2
2010,London,1,2,1583,1212604,1167792,86,57,Detached,2
2017,Hamilton,5,4,1847,793878,732879,25,98,Detached,0
2013,Guelph,3,4,2038,1102339,1057540,67,62,Condo,0
2015,Windsor,2,4,2172,685093,683305,50,3,Condo,1
2017,Guelph,2,3,1696,943318,902544,59,30,Townhouse,3
2013,Toronto,1,3,1153,1179636,1096301,66,67,Townhouse,2
2023,Toronto,5,2,1430,630405,604700,43,63,Detached,0
2012,Guelph,1,2,1489,898252,808704,46,82,Townhouse,2
2023,Kitchener,1,4,1270,658725,585816,52,23,Detached,3
2018,Hamilton,5,2,1203,885932,866061,32,72,Detached,2
2012,Guelph,3,1,1569,1178797,1164930,88,73,Townhouse,1
2018,Toronto,2,3,1106,613316,600282,10,66,Townhouse,2
2022,Guelph,3,4,1029,831201,793462,63,61,Townhouse,0
2011,Kitchener,4,4,822,633105,615793,74,2,Condo,1
2023,Guelph,4,1,1692,774143,687549,43,27,Condo,1
2011,Hamilton,4,1,1636,924245,909752,61,48,Townhouse,3
2011,London,5,1,1370,740366,717118,58,63,Condo,1
2015,Kitchener,1,1,1897,1114782,1019217,64,5,Detached,0
2012,Toronto,3,4,1100,896668,854571,21,1,Condo,3
2022,Hamilton,2,3,1652,535317,472673,44,22,Condo,1
2018,Guelph,4,3,1521,863958,800023,70,74,Condo,3
2013,Guelph,3,1,1203,1092223,1085857,89,24,Detached,2
2010,London,4,2,1302,908482,834399,58,59,Detached,1
2013,Toronto,4,4,1272,852152,783754,75,79,Townhouse,0
2010,Toronto,2,3,1601,740493,670918,48,97,Condo,0
2023,Ottawa,5,1,1737,780594,750955,88,50,Condo,1
2014,Toronto,1,2,1329,802168,743560,71,23,Detached,2
2013,London,5,2,1215,310812,266001,61,78,Condo,3
2017,Windsor,3,1,1554,892739,839945,40,18,Detached,0
2017,Ottawa,5,4,839,999339,972656,61,89,Condo,0
2016,Ottawa,3,3,1513,650414,606122,47,22,Townhouse,3
2012,Guelph,3,2,2124,846496,767189,48,44,Detached,3
2010,Guelph,1,3,1218,870722,878501,66,44,Detached,0
2010,Toronto,2,3,1429,962059,923038,87,37,Detached,3
2021,Ottawa,1,2,1909,802468,733306,65,7,Condo,1
2020,Guelph,5,1,1801,907927,890563,15,90,Townhouse,0
2012,London,3,2,1524,567680,505670,81,24,Detached,0
2015,Guelph,4,2,1476,597148,533077,37,77,Townhouse,0
2016,Kitchener,4,4,1005,886229,840824,70,41,Detached,1
2015,Kitchener,3,3,1696,754081,695044,27,70,Townhouse,0
2023,Guelph,1,1,962,483857,384998,53,85,Condo,3
2023,Ottawa,2,3,673,869499,839670,24,71,Condo,0
2015,Windsor,1,2,1903,545049,536685,19,18,Townhouse,1
2015,Windsor,3,1,1654,1340522,1303257,70,79,Townhouse,1
2022,Ottawa,3,1,1851,364774,344609,34,72,Condo,2
2012,Hamilton,2,1,1205,810535,748985,8,60,Townhouse,0
2015,Windsor,5,1,1686,576770,540436,68,52,Townhouse,1
2017,Kitchener,5,4,1324,983173,914780,69,80,Townhouse,2
2020,London,2,1,1369,719423,660688,12,49,Detached,0
2020,Ottawa,5,2,1889,1002566,973123,56,67,Townhouse,1
2011,Toronto,4,4,1440,953467,931145,18,45,Detached,1
2014,Kitchener,5,2,1221,586449,578241,62,9,Condo,0
2023,London,5,2,953,654533,572992,15,26,Condo,0
2010,London,5,3,1644,731096,665363,63,26,Condo,2
2021,Ottawa,4,1,1923,786493,748818,28,30,Townhouse,0
2010,London,5,1,1186,760709,692522,36,27,Condo,0
2014,Ottawa,4,2,1775,945622,928753,50,80,Detached,3
2021,Windsor,2,1,1122,846790,823036,32,4,Detached,0
2022,Guelph,1,4,1799,677469,656712,20,51,Townhouse,1
2012,Kitchener,2,3,1513,617509,559211,46,83,Detached,2
2013,Hamilton,1,1,1607,636821,604961,20,98,Detached,2
2012,Guelph,2,1,1221,865998,859621,16,70,Condo,2
2010,Kitchener,1,4,1643,761385,708646,80,79,Detached,1
2010,Ottawa,1,3,1260,1216062,1148872,66,10,Condo,0
2021,Kitchener,3,4,1334,799951,754030,38,36,Condo,1
2021,Windsor,1,2,892,837746,753554,42,46,Detached,3
2023,Ottawa,1,2,1191,439792,365709,88,6,Detached,2
2022,Guelph,3,1,1289,532388,448828,51,70,Townhouse,0
2023,Toronto,5,3,1625,575719,502206,83,79,Townhouse,0
2014,Toronto,5,2,1738,693393,636318,26,93,Detached,2
2015,Kitchener,3,4,1256,503552,490868,84,89,Condo,3
2012,Toronto,4,2,1434,569014,529398,7,83,Condo,3
2021,Ottawa,1,2,2174,932987,898360,5,78,Townhouse,0
2018,London,1,4,1552,628027,604682,57,3,Condo,1
2014,Ottawa,3,1,1285,791797,759042,68,50,Townhouse,2
2017,London,3,3,828,918428,912362,48,42,Condo,1
2022,Guelph,4,1,1158,989323,912805,51,78,Detached,0
2010,Hamilton,5,4,1142,858504,840272,42,54,Detached,2
2023,London,2,2,2291,870548,796150,67,39,Condo,3
2014,Toronto,5,3,1160,995455,905653,85,85,Townhouse,3
2012,Ottawa,1,1,1520,882853,855838,45,55,Detached,3
2021,Guelph,3,4,1648,1007085,973721,25,11,Townhouse,0
2010,Toronto,4,2,1942,371321,306365,49,74,Detached,3
