,Year,Location,Number of Households,Tenure,Housing Characteristics
449,2021,"Large urban population centres, Ontario",232500,Repeat homebuyer,Moved to form own household
450,2022,"Large urban population centres, Ontario",289800,Repeat homebuyer,Moved to form own household
452,2021,"Large urban population centres, Ontario",121300,Repeat homebuyer,Moved to be closer to family
453,2022,"Large urban population centres, Ontario",166300,Repeat homebuyer,Moved to be closer to family
455,2021,"Large urban population centres, Ontario",365800,Repeat homebuyer,Moved because of a change in household or family size
456,2022,"Large urban population centres, Ontario",337500,Repeat homebuyer,Moved because of a change in household or family size
458,2021,"Large urban population centres, Ontario",138800,Repeat homebuyer,Moved to reduce commuting time
459,2022,"Large urban population centres, Ontario",64600,Repeat homebuyer,Moved to reduce commuting time
461,2021,"Large urban population centres, Ontario",749400,Repeat homebuyer,Moved to upgrade to a larger dwelling or better quality dwelling
462,2022,"Large urban population centres, Ontario",671200,Repeat homebuyer,Moved to upgrade to a larger dwelling or better quality dwelling
464,2021,"Large urban population centres, Ontario",134600,Repeat homebuyer,Moved to reduce housing costs
465,2022,"Large urban population centres, Ontario",151100,Repeat homebuyer,Moved to reduce housing costs
467,2021,"Large urban population centres, Ontario",311000,Repeat homebuyer,Moved to be in a more desirable neighbourhood
468,2022,"Large urban population centres, Ontario",240500,Repeat homebuyer,Moved to be in a more desirable neighbourhood
470,2021,"Large urban population centres, Ontario",35600,Repeat homebuyer,Moved for personal health reasons
471,2022,"Large urban population centres, Ontario",51800,Repeat homebuyer,Moved for personal health reasons
473,2021,"Large urban population centres, Ontario",608100,Repeat homebuyer,Moved to become a homeowner
474,2022,"Large urban population centres, Ontario",651200,Repeat homebuyer,Moved to become a homeowner
475,2021,"Large urban population centres, Ontario",18700,Repeat homebuyer,Moved due to issues with previous landlord or other tenants
476,2022,"Large urban population centres, Ontario",27900,Repeat homebuyer,Moved due to issues with previous landlord or other tenants
478,2021,"Large urban population centres, Ontario",12700,Repeat homebuyer,Moved for another reason
479,2022,"Large urban population centres, Ontario",97800,Repeat homebuyer,Moved for another reason
484,2021,"Large urban population centres, Ontario",134700,Renter,Single-detached house
485,2022,"Large urban population centres, Ontario",170000,Renter,Single-detached house
487,2021,"Large urban population centres, Ontario",45900,Renter,Semi-detached house
488,2022,"Large urban population centres, Ontario",56500,Renter,Semi-detached house
490,2021,"Large urban population centres, Ontario",147000,Renter,Row house
491,2022,"Large urban population centres, Ontario",159500,Renter,Row house
493,2021,"Large urban population centres, Ontario",57700,Renter,Apartment or flat in a duplex
494,2022,"Large urban population centres, Ontario",34700,Renter,Apartment or flat in a duplex
496,2021,"Large urban population centres, Ontario",649100,Renter,Apartment in a building that has five or more storeys
497,2022,"Large urban population centres, Ontario",818000,Renter,Apartment in a building that has five or more storeys
499,2021,"Large urban population centres, Ontario",324700,Renter,Apartment in a building that has fewer than five storeys
500,2022,"Large urban population centres, Ontario",321400,Renter,Apartment in a building that has fewer than five storeys
502,2021,"Large urban population centres, Ontario",3300,Renter,Other single-attached house
503,2022,"Large urban population centres, Ontario",900,Renter,Other single-attached house
505,2021,"Large urban population centres, Ontario",1600,Renter,Movable dwelling
506,2022,"Large urban population centres, Ontario",600,Renter,Movable dwelling
511,2021,"Large urban population centres, Ontario",251800,Renter,Condominium
512,2022,"Large urban population centres, Ontario",288200,Renter,Condominium
514,2021,"Large urban population centres, Ontario",1112100,Renter,Not condominium
515,2022,"Large urban population centres, Ontario",1273400,Renter,Not condominium
518,2021,"Large urban population centres, Ontario",343400,Renter,Dwelling satisfaction rating between 0 and 5
519,2022,"Large urban population centres, Ontario",403900,Renter,Dwelling satisfaction rating between 0 and 5
520,2021,"Large urban population centres, Ontario",382700,Renter,Dwelling satisfaction rating of 6 or 7
521,2022,"Large urban population centres, Ontario",468900,Renter,Dwelling satisfaction rating of 6 or 7
522,2021,"Large urban population centres, Ontario",637800,Renter,"Dwelling satisfaction rating of 8, 9 or 10"
523,2022,"Large urban population centres, Ontario",688800,Renter,"Dwelling satisfaction rating of 8, 9 or 10"
526,2021,"Large urban population centres, Ontario",249700,Renter,Neighbourhood satisfaction rating between 0 and 5
527,2022,"Large urban population centres, Ontario",332900,Renter,Neighbourhood satisfaction rating between 0 and 5
528,2021,"Large urban population centres, Ontario",293600,Renter,Neighbourhood satisfaction rating of 6 or 7
529,2022,"Large urban population centres, Ontario",396700,Renter,Neighbourhood satisfaction rating of 6 or 7
530,2021,"Large urban population centres, Ontario",820700,Renter,"Neighbourhood satisfaction rating of 8, 9 or 10"
531,2022,"Large urban population centres, Ontario",832000,Renter,"Neighbourhood satisfaction rating of 8, 9 or 10"
533,2021,"Large urban population centres, Ontario",131600,Renter,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
534,2022,"Large urban population centres, Ontario",124800,Renter,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
536,2021,"Large urban population centres, Ontario",14300,Renter,Moved due to a natural disaster or fire
537,2022,"Large urban population centres, Ontario",9800,Renter,Moved due to a natural disaster or fire
539,2021,"Large urban population centres, Ontario",141300,Renter,Moved for a new job or job transfer
540,2022,"Large urban population centres, Ontario",209900,Renter,Moved for a new job or job transfer
542,2021,"Large urban population centres, Ontario",87600,Renter,Moved for a new school
543,2022,"Large urban population centres, Ontario",66700,Renter,Moved for a new school
545,2021,"Large urban population centres, Ontario",109600,Renter,Moved to form own household
546,2022,"Large urban population centres, Ontario",128400,Renter,Moved to form own household
548,2021,"Large urban population centres, Ontario",108600,Renter,Moved to be closer to family
549,2022,"Large urban population centres, Ontario",116800,Renter,Moved to be closer to family
551,2021,"Large urban population centres, Ontario",250300,Renter,Moved because of a change in household or family size
552,2022,"Large urban population centres, Ontario",185300,Renter,Moved because of a change in household or family size
554,2021,"Large urban population centres, Ontario",121000,Renter,Moved to reduce commuting time
555,2022,"Large urban population centres, Ontario",135100,Renter,Moved to reduce commuting time
557,2021,"Large urban population centres, Ontario",337100,Renter,Moved to upgrade to a larger dwelling or better quality dwelling
558,2022,"Large urban population centres, Ontario",322400,Renter,Moved to upgrade to a larger dwelling or better quality dwelling
560,2021,"Large urban population centres, Ontario",152900,Renter,Moved to reduce housing costs
561,2022,"Large urban population centres, Ontario",125200,Renter,Moved to reduce housing costs
563,2021,"Large urban population centres, Ontario",187500,Renter,Moved to be in a more desirable neighbourhood
564,2022,"Large urban population centres, Ontario",143000,Renter,Moved to be in a more desirable neighbourhood
566,2021,"Large urban population centres, Ontario",71900,Renter,Moved for personal health reasons
567,2022,"Large urban population centres, Ontario",92600,Renter,Moved for personal health reasons
569,2021,"Large urban population centres, Ontario",30900,Renter,Moved to become a homeowner
570,2022,"Large urban population centres, Ontario",10900,Renter,Moved to become a homeowner
571,2021,"Large urban population centres, Ontario",100300,Renter,Moved due to issues with previous landlord or other tenants
572,2022,"Large urban population centres, Ontario",114400,Renter,Moved due to issues with previous landlord or other tenants
574,2021,"Large urban population centres, Ontario",31300,Renter,Moved for another reason
575,2022,"Large urban population centres, Ontario",279800,Renter,Moved for another reason
580,2021,"Medium population centres, Ontario",33400,First-time homebuyer,Single-detached house
581,2022,"Medium population centres, Ontario",19700,First-time homebuyer,Single-detached house
583,2021,"Medium population centres, Ontario",8200,First-time homebuyer,Semi-detached house
584,2022,"Medium population centres, Ontario",2300,First-time homebuyer,Semi-detached house
586,2021,"Medium population centres, Ontario",4300,First-time homebuyer,Row house
587,2022,"Medium population centres, Ontario",9800,First-time homebuyer,Row house
589,2021,"Medium population centres, Ontario",2500,First-time homebuyer,Apartment or flat in a duplex
590,2022,"Medium population centres, Ontario",1900,First-time homebuyer,Apartment or flat in a duplex
592,2021,"Medium population centres, Ontario",300,First-time homebuyer,Apartment in a building that has five or more storeys
593,2022,"Medium population centres, Ontario",200,First-time homebuyer,Apartment in a building that has five or more storeys
595,2021,"Medium population centres, Ontario",600,First-time homebuyer,Apartment in a building that has fewer than five storeys
596,2022,"Medium population centres, Ontario",1000,First-time homebuyer,Apartment in a building that has fewer than five storeys
598,2021,"Medium population centres, Ontario",0,First-time homebuyer,Other single-attached house
599,2022,"Medium population centres, Ontario",0,First-time homebuyer,Other single-attached house
601,2021,"Medium population centres, Ontario",0,First-time homebuyer,Movable dwelling
602,2022,"Medium population centres, Ontario",0,First-time homebuyer,Movable dwelling
607,2021,"Medium population centres, Ontario",4200,First-time homebuyer,Condominium
608,2022,"Medium population centres, Ontario",1000,First-time homebuyer,Condominium
610,2021,"Medium population centres, Ontario",45000,First-time homebuyer,Not condominium
611,2022,"Medium population centres, Ontario",33900,First-time homebuyer,Not condominium
614,2021,"Medium population centres, Ontario",3000,First-time homebuyer,Dwelling satisfaction rating between 0 and 5
615,2022,"Medium population centres, Ontario",4400,First-time homebuyer,Dwelling satisfaction rating between 0 and 5
616,2021,"Medium population centres, Ontario",9500,First-time homebuyer,Dwelling satisfaction rating of 6 or 7
617,2022,"Medium population centres, Ontario",8100,First-time homebuyer,Dwelling satisfaction rating of 6 or 7
618,2021,"Medium population centres, Ontario",36700,First-time homebuyer,"Dwelling satisfaction rating of 8, 9 or 10"
619,2022,"Medium population centres, Ontario",22400,First-time homebuyer,"Dwelling satisfaction rating of 8, 9 or 10"
622,2021,"Medium population centres, Ontario",9100,First-time homebuyer,Neighbourhood satisfaction rating between 0 and 5
623,2022,"Medium population centres, Ontario",1700,First-time homebuyer,Neighbourhood satisfaction rating between 0 and 5
624,2021,"Medium population centres, Ontario",9700,First-time homebuyer,Neighbourhood satisfaction rating of 6 or 7
625,2022,"Medium population centres, Ontario",6100,First-time homebuyer,Neighbourhood satisfaction rating of 6 or 7
626,2021,"Medium population centres, Ontario",30500,First-time homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10"
627,2022,"Medium population centres, Ontario",27100,First-time homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10"
629,2021,"Medium population centres, Ontario",2300,First-time homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
630,2022,"Medium population centres, Ontario",2000,First-time homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
632,2021,"Medium population centres, Ontario",0,First-time homebuyer,Moved due to a natural disaster or fire
633,2022,"Medium population centres, Ontario",0,First-time homebuyer,Moved due to a natural disaster or fire
635,2021,"Medium population centres, Ontario",4400,First-time homebuyer,Moved for a new job or job transfer
636,2022,"Medium population centres, Ontario",2100,First-time homebuyer,Moved for a new job or job transfer
638,2021,"Medium population centres, Ontario",0,First-time homebuyer,Moved for a new school
639,2022,"Medium population centres, Ontario",0,First-time homebuyer,Moved for a new school
641,2021,"Medium population centres, Ontario",6900,First-time homebuyer,Moved to form own household
642,2022,"Medium population centres, Ontario",15000,First-time homebuyer,Moved to form own household
644,2021,"Medium population centres, Ontario",5200,First-time homebuyer,Moved to be closer to family
645,2022,"Medium population centres, Ontario",2000,First-time homebuyer,Moved to be closer to family
647,2021,"Medium population centres, Ontario",12500,First-time homebuyer,Moved because of a change in household or family size
648,2022,"Medium population centres, Ontario",1800,First-time homebuyer,Moved because of a change in household or family size
650,2021,"Medium population centres, Ontario",4400,First-time homebuyer,Moved to reduce commuting time
651,2022,"Medium population centres, Ontario",0,First-time homebuyer,Moved to reduce commuting time
653,2021,"Medium population centres, Ontario",8400,First-time homebuyer,Moved to upgrade to a larger dwelling or better quality dwelling
654,2022,"Medium population centres, Ontario",3700,First-time homebuyer,Moved to upgrade to a larger dwelling or better quality dwelling
656,2021,"Medium population centres, Ontario",1700,First-time homebuyer,Moved to reduce housing costs
657,2022,"Medium population centres, Ontario",0,First-time homebuyer,Moved to reduce housing costs
659,2021,"Medium population centres, Ontario",3900,First-time homebuyer,Moved to be in a more desirable neighbourhood
660,2022,"Medium population centres, Ontario",1600,First-time homebuyer,Moved to be in a more desirable neighbourhood
662,2021,"Medium population centres, Ontario",600,First-time homebuyer,Moved for personal health reasons
663,2022,"Medium population centres, Ontario",0,First-time homebuyer,Moved for personal health reasons
665,2021,"Medium population centres, Ontario",30800,First-time homebuyer,Moved to become a homeowner
666,2022,"Medium population centres, Ontario",30800,First-time homebuyer,Moved to become a homeowner
667,2021,"Medium population centres, Ontario",0,First-time homebuyer,Moved due to issues with previous landlord or other tenants
668,2022,"Medium population centres, Ontario",800,First-time homebuyer,Moved due to issues with previous landlord or other tenants
670,2021,"Medium population centres, Ontario",0,First-time homebuyer,Moved for another reason
671,2022,"Medium population centres, Ontario",1700,First-time homebuyer,Moved for another reason
676,2021,"Medium population centres, Ontario",237500,Repeat homebuyer,Single-detached house
677,2022,"Medium population centres, Ontario",211000,Repeat homebuyer,Single-detached house
679,2021,"Medium population centres, Ontario",18200,Repeat homebuyer,Semi-detached house
680,2022,"Medium population centres, Ontario",33400,Repeat homebuyer,Semi-detached house
682,2021,"Medium population centres, Ontario",8500,Repeat homebuyer,Row house
683,2022,"Medium population centres, Ontario",7300,Repeat homebuyer,Row house
685,2021,"Medium population centres, Ontario",13600,Repeat homebuyer,Apartment or flat in a duplex
686,2022,"Medium population centres, Ontario",4400,Repeat homebuyer,Apartment or flat in a duplex
688,2021,"Medium population centres, Ontario",2300,Repeat homebuyer,Apartment in a building that has five or more storeys
689,2022,"Medium population centres, Ontario",300,Repeat homebuyer,Apartment in a building that has five or more storeys
691,2021,"Medium population centres, Ontario",4700,Repeat homebuyer,Apartment in a building that has fewer than five storeys
692,2022,"Medium population centres, Ontario",6000,Repeat homebuyer,Apartment in a building that has fewer than five storeys
694,2021,"Medium population centres, Ontario",0,Repeat homebuyer,Other single-attached house
695,2022,"Medium population centres, Ontario",0,Repeat homebuyer,Other single-attached house
697,2021,"Medium population centres, Ontario",1800,Repeat homebuyer,Movable dwelling
698,2022,"Medium population centres, Ontario",0,Repeat homebuyer,Movable dwelling
703,2021,"Medium population centres, Ontario",8700,Repeat homebuyer,Condominium
704,2022,"Medium population centres, Ontario",8800,Repeat homebuyer,Condominium
706,2021,"Medium population centres, Ontario",278000,Repeat homebuyer,Not condominium
707,2022,"Medium population centres, Ontario",253600,Repeat homebuyer,Not condominium
710,2021,"Medium population centres, Ontario",25400,Repeat homebuyer,Dwelling satisfaction rating between 0 and 5
711,2022,"Medium population centres, Ontario",27000,Repeat homebuyer,Dwelling satisfaction rating between 0 and 5
712,2021,"Medium population centres, Ontario",48800,Repeat homebuyer,Dwelling satisfaction rating of 6 or 7
713,2022,"Medium population centres, Ontario",56900,Repeat homebuyer,Dwelling satisfaction rating of 6 or 7
714,2021,"Medium population centres, Ontario",212500,Repeat homebuyer,"Dwelling satisfaction rating of 8, 9 or 10"
715,2022,"Medium population centres, Ontario",178600,Repeat homebuyer,"Dwelling satisfaction rating of 8, 9 or 10"
718,2021,"Medium population centres, Ontario",36000,Repeat homebuyer,Neighbourhood satisfaction rating between 0 and 5
719,2022,"Medium population centres, Ontario",25200,Repeat homebuyer,Neighbourhood satisfaction rating between 0 and 5
720,2021,"Medium population centres, Ontario",32300,Repeat homebuyer,Neighbourhood satisfaction rating of 6 or 7
721,2022,"Medium population centres, Ontario",58600,Repeat homebuyer,Neighbourhood satisfaction rating of 6 or 7
722,2021,"Medium population centres, Ontario",218300,Repeat homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10"
723,2022,"Medium population centres, Ontario",178700,Repeat homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10"
725,2021,"Medium population centres, Ontario",6900,Repeat homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
726,2022,"Medium population centres, Ontario",3900,Repeat homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
728,2021,"Medium population centres, Ontario",0,Repeat homebuyer,Moved due to a natural disaster or fire
729,2022,"Medium population centres, Ontario",0,Repeat homebuyer,Moved due to a natural disaster or fire
731,2021,"Medium population centres, Ontario",21500,Repeat homebuyer,Moved for a new job or job transfer
732,2022,"Medium population centres, Ontario",24400,Repeat homebuyer,Moved for a new job or job transfer
734,2021,"Medium population centres, Ontario",1100,Repeat homebuyer,Moved for a new school
735,2022,"Medium population centres, Ontario",3500,Repeat homebuyer,Moved for a new school
737,2021,"Medium population centres, Ontario",20800,Repeat homebuyer,Moved to form own household
738,2022,"Medium population centres, Ontario",19700,Repeat homebuyer,Moved to form own household
740,2021,"Medium population centres, Ontario",38900,Repeat homebuyer,Moved to be closer to family
741,2022,"Medium population centres, Ontario",23500,Repeat homebuyer,Moved to be closer to family
743,2021,"Medium population centres, Ontario",48200,Repeat homebuyer,Moved because of a change in household or family size
744,2022,"Medium population centres, Ontario",38600,Repeat homebuyer,Moved because of a change in household or family size
746,2021,"Medium population centres, Ontario",10300,Repeat homebuyer,Moved to reduce commuting time
747,2022,"Medium population centres, Ontario",17100,Repeat homebuyer,Moved to reduce commuting time
749,2021,"Medium population centres, Ontario",85400,Repeat homebuyer,Moved to upgrade to a larger dwelling or better quality dwelling
750,2022,"Medium population centres, Ontario",68500,Repeat homebuyer,Moved to upgrade to a larger dwelling or better quality dwelling
752,2021,"Medium population centres, Ontario",45100,Repeat homebuyer,Moved to reduce housing costs
753,2022,"Medium population centres, Ontario",16400,Repeat homebuyer,Moved to reduce housing costs
755,2021,"Medium population centres, Ontario",31600,Repeat homebuyer,Moved to be in a more desirable neighbourhood
756,2022,"Medium population centres, Ontario",23500,Repeat homebuyer,Moved to be in a more desirable neighbourhood
758,2021,"Medium population centres, Ontario",7600,Repeat homebuyer,Moved for personal health reasons
759,2022,"Medium population centres, Ontario",1100,Repeat homebuyer,Moved for personal health reasons
761,2021,"Medium population centres, Ontario",58800,Repeat homebuyer,Moved to become a homeowner
762,2022,"Medium population centres, Ontario",59500,Repeat homebuyer,Moved to become a homeowner
763,2021,"Medium population centres, Ontario",500,Repeat homebuyer,Moved due to issues with previous landlord or other tenants
764,2022,"Medium population centres, Ontario",100,Repeat homebuyer,Moved due to issues with previous landlord or other tenants
766,2021,"Medium population centres, Ontario",0,Repeat homebuyer,Moved for another reason
767,2022,"Medium population centres, Ontario",26600,Repeat homebuyer,Moved for another reason
772,2021,"Medium population centres, Ontario",27000,Renter,Single-detached house
773,2022,"Medium population centres, Ontario",14300,Renter,Single-detached house
775,2021,"Medium population centres, Ontario",10400,Renter,Semi-detached house
776,2022,"Medium population centres, Ontario",8400,Renter,Semi-detached house
778,2021,"Medium population centres, Ontario",16900,Renter,Row house
779,2022,"Medium population centres, Ontario",12900,Renter,Row house
781,2021,"Medium population centres, Ontario",8200,Renter,Apartment or flat in a duplex
